pH,DO,Saturation,Temp,Conductivity,Drainage_Area,Nitrate_Plus_Nitrite,Classification
25,49,52,61,45,0,0,2
40,41,52,98,30,10,0,2
60,53,64,88,43,7,0,0
30,54,50,37,48,3,0,0
52,55,53,42,41,3,1,0
54,49,52,60,35,3,3,0
65,52,56,62,26,1,0,0
22,17,19,74,32,2,6,2
24,25,28,73,32,2,6,2
18,8,8,48,80,2,28,2
36,41,42,53,38,13,12,2
51,44,46,57,39,100,25,1
12,10,9,51,10,11,7,2
18,39,36,34,45,2,100,2
57,51,52,55,39,4,2,0
24,26,28,66,52,1,0,2
21,48,43,30,46,0,0,2
57,60,70,84,30,10,1,0
66,57,66,77,47,7,0,0
43,52,48,38,46,3,0,0
55,61,57,38,40,3,3,0
70,57,53,35,38,3,1,0
76,56,56,50,26,1,0,0
76,56,56,50,26,1,0,0
69,73,79,65,35,2,7,0
32,15,12,30,89,2,7,2
48,49,45,35,40,13,3,0
61,48,46,41,48,100,32,1
17,17,15,41,17,11,27,2
26,48,43,28,49,2,64,2
67,56,57,53,50,4,6,0
32,31,32,59,61,1,0,2
27,56,50,32,52,0,0,0
62,62,72,82,34,10,2,0
71,61,68,73,53,7,0,0
45,57,52,30,50,3,0,0
69,64,57,30,45,3,0,0
74,59,56,38,44,3,2,0
81,59,59,49,28,1,0,0
52,47,51,65,40,2,2,0
18,11,8,30,85,2,6,2
54,56,52,36,44,13,5,0
68,51,49,40,57,100,25,1
16,11,7,28,0,11,3,2
30,49,41,16,47,2,6,2
57,54,50,35,36,4,6,0
43,42,38,35,33,10,6,2
75,62,60,43,49,7,6,0
42,65,54,12,52,3,6,0
72,65,57,23,44,3,6,0
67,65,57,23,44,3,6,0
75,53,48,31,30,1,6,0
33,30,25,26,72,2,6,2
33,27,22,26,72,2,6,2
50,53,47,28,41,13,6,0
15,42,37,32,46,2,6,2
45,42,45,65,44,4,6,2
31,28,28,51,34,10,6,2
51,42,46,71,48,7,6,0
50,42,47,71,49,7,6,0
28,64,56,23,53,3,6,0
54,56,57,52,43,3,6,0
66,46,53,76,27,1,6,0
30,32,35,63,76,2,6,2
34,39,45,78,37,13,6,2
36,51,43,23,49,2,6,0
73,50,49,45,46,4,6,0
47,32,30,38,36,10,6,2
48,32,28,38,36,10,6,2
65,46,47,54,50,7,6,0
48,66,56,18,54,3,6,0
78,66,61,32,43,3,6,0
94,56,57,57,26,1,6,0
45,17,16,45,96,2,6,2
70,50,50,51,45,13,6,0
30,47,40,27,48,2,6,2
65,48,49,56,47,4,6,0
46,27,27,50,35,10,6,2
47,26,25,50,35,10,6,2
68,46,50,67,47,7,6,0
39,56,51,26,49,3,6,0
74,61,59,43,41,3,6,0
87,56,59,61,28,1,6,0
40,39,43,66,42,2,6,2
50,42,45,64,30,13,6,0
